"name","group","element","units","context","S508245","S508247","S508246","S508249","S508248","S508250","S508251","S508253","S508252","S508255","S508254","S508256","S508258","S508257","S508259","S508262","S508261","S508260","S508263","S508264","S508265","S508266","S508267","S508268","S508270","S508269","S508271","S508273","S508275","S508272","S508274","S508276","S508277","S508278","S508279","S508281","S508280","S508282","S508284","S508283","S508285","S508287","S508286","S508288","S508289","S508290","S508291","S508292","S508293","S508294","S508296","S508295","S508297","S508298","S508299","S508300","S508301","S508302","S508303","S508306","S508307","S508305","S508304","S508308","S508309","S508310","S508311","S508312","S508313","S508315","S508314","S508316","S508318","S508317","S508319","S508321","S508320","S508322","S508323","S508324","S508325","S508326","S508327","S508328","S508329","S508330","S508331","S508332","S508333","S508334","S508335","S508336","S508337","S508338","S508340","S508339","S508341","S508342","S508343","S508344","S508345","S508346","S508347","S508348","S508349","S508351","S508350","S508354","S508352","S508353","S508355","S508356","S508357","S508358","S508359","S508360","S508361","S508362","S508363","S508364","S508365","S508366","S508367","S508369","S508368","S508370","S508371","S508372","S508373","S508375","S508374","S508376","S508377","S508378","S508379","S508380","S508381","S508382","S508383","S508384"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,0.5,5.5,10.5,15.5,20.5,25.5,30.5,39.5,40.5,45.5,54,59,69,79,89,99,109,119,129,139,149,159,169,180,190,200,206.5,216.5,226.5,236.5,246.5,256.5,266.5,273.5,283.5,293.5,303.5,313.5,323.5,333.5,343.5,353.5,363.5,377,382,392,402,408,418,428,438,443,448,458,468,478,488,498,508,518,523.5,533.5,546.5,556.5,566.5,576.5,586.5,596.5,606.5,616.5,626.5,636.5,646.5,656.5,666.5,676.5,686.5,700,710,720,730,740,750,760,770,775,780,785,790,795,800,805,810,815,820,825,830,835,838,843,848,855,860,870,880,890,900,910,920,930,940,950,960,975,985,995,1005,1010,1015,1025,1035,1040,1050.5,1060.5,1065.5,1070.5,1085.5,1090.5,1100.5,1105.5,1115.5,1125.5,1135.5,1140.5,1145.5,1150.5,1155.5,1160.5,1165.5,1167.5
Thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,508245,508247,508246,508249,508248,508250,508251,508253,508252,508255,508254,508256,508258,508257,508259,508262,508261,508260,508263,508264,508265,508266,508267,508268,508270,508269,508271,508273,508275,508272,508274,508276,508277,508278,508279,508281,508280,508282,508284,508283,508285,508287,508286,508288,508289,508290,508291,508292,508293,508294,508296,508295,508297,508298,508299,508300,508301,508302,508303,508306,508307,508305,508304,508308,508309,508310,508311,508312,508313,508315,508314,508316,508318,508317,508319,508321,508320,508322,508323,508324,508325,508326,508327,508328,508329,508330,508331,508332,508333,508334,508335,508336,508337,508338,508340,508339,508341,508342,508343,508344,508345,508346,508347,508348,508349,508351,508350,508354,508352,508353,508355,508356,508357,508358,508359,508360,508361,508362,508363,508364,508365,508366,508367,508369,508368,508370,508371,508372,508373,508375,508374,508376,508377,508378,508379,508380,508381,508382,508383,508384
cal BP,Calibrated radiocarbon years BP,,,,--/-56.9/--,--/-50.33333/--,--/-42.11428/--,--/-30.46667/--,--/-13.25/--,--/1.325/--,--/19.02857/--,--/65.1/--,--/70.85/--,--/98.14/--,--/277.1478/--,--/426.1913/--,--/521.8929/--,--/595.1071/--,--/668.3214/--,--/741.5357/--,--/814.75/--,--/887.9643/--,--/961.1786/--,--/1034.393/--,--/1107.607/--,--/1180.821/--,--/1254.036/--,--/1384.855/--,--/1520.923/--,--/1656.991/--,--/1745.436/--,--/1881.504/--,--/2017.573/--,--/2176.154/--,--/2349.744/--,--/2523.333/--,--/2696.923/--,--/2788.412/--,--/2886.941/--,--/2985.471/--,--/3084/--,--/3182.529/--,--/3281.059/--,--/3379.588/--,--/3474.882/--,--/3568.018/--,--/3661.154/--,--/3786.888/--,--/3833.456/--,--/3926.592/--,--/4019.728/--,--/4075.609/--,--/4168.746/--,--/4336.2/--,--/4553.2/--,--/4661.7/--,--/4770.2/--,--/4987.2/--,--/5204.2/--,--/5421.2/--,--/5638.2/--,--/5855.2/--,--/6012.909/--,--/6131.091/--,--/6196.091/--,--/6314.273/--,--/6467.909/--,--/6586.091/--,--/6681.696/--,--/6743.435/--,--/6805.174/--,--/6866.913/--,--/6928.652/--,--/6990.391/--,--/7052.13/--,--/7113.87/--,--/7175.609/--,--/7237.348/--,--/7299.087/--,--/7360.826/--,--/7425.06/--,--/7512.149/--,--/7576.66/--,--/7641.17/--,--/7705.681/--,--/7770.191/--,--/7834.702/--,--/7899.213/--,--/7963.724/--,--/7995.979/--,--/8028.234/--,--/8060.489/--,--/8092.745/--,--/8125/--,--/8147.061/--,--/8169.122/--,--/8191.183/--,--/8213.243/--,--/8235.304/--,--/8257.365/--,--/8279.426/--,--/8301.486/--,--/8314.723/--,--/8336.784/--,--/8358.845/--,--/8389.729/--,--/8411.791/--,--/8455.912/--,--/8500.034/--,--/8544.155/--,--/8588.277/--,--/8632.398/--,--/8676.521/--,--/8720.642/--,--/8764.764/--,--/8782.015/--,--/8787.75/--,--/8796.353/--,--/8802.088/--,--/8807.823/--,--/8813.559/--,--/8816.427/--,--/8842.073/--,--/8904.757/--,--/8967.44/--,--/8998.783/--,--/9064.601/--,--/9127.284/--,--/9158.626/--,--/9189.968/--,--/9283.993/--,--/9315.336/--,--/9378.02/--,--/9409.361/--,--/9472.045/--,--/9534.729/--,--/9597.412/--,--/9628.754/--,--/9660.096/--,--/9691.438/--,--/9722.779/--,--/9754.121/--,--/9785.463/--,--/9798/--
C14 BP,Radiocarbon years BP,,,,--/3.208333/--,--/35.29167/--,--/67.375/--,--/99.45834/--,--/131.5417/--,--/163.625/--,--/195.7083/--,--/253.4583/--,--/259.875/--,--/291.9583/--,--/346.5/--,--/378.5833/--,--/461.3393/--,--/546.1607/--,--/630.9821/--,--/715.8036/--,--/800.625/--,--/885.4464/--,--/970.2679/--,--/1055.089/--,--/1139.911/--,--/1224.732/--,--/1309.554/--,--/1440.517/--,--/1572.414/--,--/1704.31/--,--/1790.043/--,--/1921.94/--,--/2053.836/--,--/2185.833/--,--/2317.885/--,--/2449.936/--,--/2581.987/--,--/2653.713/--,--/2739.743/--,--/2825.772/--,--/2911.802/--,--/2997.831/--,--/3083.86/--,--/3169.89/--,--/3247.029/--,--/3319.382/--,--/3391.735/--,--/3489.412/--,--/3525.588/--,--/3597.941/--,--/3670.294/--,--/3713.706/--,--/3786.059/--,--/3917.75/--,--/4089/--,--/4174.625/--,--/4260.25/--,--/4431.5/--,--/4602.75/--,--/4774/--,--/4945.25/--,--/5116.5/--,--/5250.5/--,--/5359.667/--,--/5419.708/--,--/5528.875/--,--/5670.792/--,--/5779.958/--,--/5863.87/--,--/5916.913/--,--/5969.957/--,--/6023/--,--/6076.043/--,--/6129.087/--,--/6182.13/--,--/6235.174/--,--/6288.217/--,--/6341.261/--,--/6394.304/--,--/6447.348/--,--/6520.848/--,--/6621.525/--,--/6696.102/--,--/6770.678/--,--/6845.254/--,--/6919.831/--,--/6994.407/--,--/7068.983/--,--/7143.559/--,--/7180.848/--,--/7218.136/--,--/7255.424/--,--/7292.712/--,--/7330/--,--/7392.5/--,--/7455/--,--/7517.5/--,--/7580/--,--/7642.5/--,--/7705/--,--/7767.5/--,--/7830/--,--/7867.5/--,--/7930/--,--/7930.595/--,--/7931.429/--,--/7932.024/--,--/7933.214/--,--/7934.405/--,--/7935.595/--,--/7936.786/--,--/7937.976/--,--/7939.167/--,--/7940.357/--,--/7941.548/--,--/7942.738/--,--/7943.929/--,--/7945.714/--,--/7946.905/--,--/7948.095/--,--/7949.286/--,--/7949.881/--,--/7971.282/--,--/8024.487/--,--/8077.692/--,--/8104.295/--,--/8160.16/--,--/8213.365/--,--/8239.968/--,--/8266.57/--,--/8346.378/--,--/8372.98/--,--/8426.186/--,--/8452.788/--,--/8505.993/--,--/8559.198/--,--/8612.404/--,--/8639.007/--,--/8665.609/--,--/8692.212/--,--/8718.814/--,--/8745.417/--,--/8772.02/--,--/8782.66/--
Abies,TRSH,pollen,NISP,,1,1,,,,,,,,,3,1,,,1,1,,,,2,1,1,2,1,1,1,1,5,1,3,5,10,10,3,4,17,5,9,4,6,6,11,22,14,2,3,3,3,6,4,5,6,9,6,6,7,3,2,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,1,1,,,,,,,1,,2,,,,,,1,1,,,,,,,,,,,,
Alnus,TRSH,pollen,NISP,,,,,,,,1,,,,,,,,,,,,,,,,1,1,,2,2,1,,1,1,1,,2,,,1,1,4,6,5,2,3,4,,1,1,,,1,,,,1,4,1,,1,,1,1,1,2,2,,,2,,1,,1,2,,2,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
