"name","group","element","units","context","S520307","S520308","S520311","S520312","S520313","S520310","S520309","S520314","S520315","S520316","S520317","S520318","S520320","S520319","S520321","S520322","S520323","S520324","S520325","S520326","S520327"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,0,47,77,97,120,420,450,470,550,570,593,620,720,820,920,970,1090,1190,1220,1250,1470
Thickness,,,,,,1,,,,,,,,,,,,,,,,,,,
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,520307,520308,520311,520312,520313,520310,520309,520314,520315,520316,520317,520318,520320,520319,520321,520322,520323,520324,520325,520326,520327
Chron 1,Radiocarbon years BP,,,,--/0/--,--/360/--,--/860/--,--/1194/--,--/1578/--,--/5068/--,--/5437/--,--/5682/--,--/6664/--,--/6909/--,--/7192/--,--/7523/--,--/8792/--,--/10161/--,--/10333/--,--/10419/--,--/10625/--,--/10869/--,--/10943/--,--/11064/--,--/12498/--
Brucea,TRSH,pollen,NISP,,,2,,1,,,,1,1,1,,,,,1,,,,,1,
Cassia-type,TRSH,pollen,NISP,,,,,1,1,,,,,,,2,1,1,,2,3,1,,,
Euclea,TRSH,pollen,NISP,,1,,,3,1,1,1,,,,,,,,,3,,,1,,
Tribulus,UPHE,pollen,NISP,,,,3,,,,,,,,1,,,,,,,,4,,1
