"name","group","element","units","context","S668253","S668254","S668256","S668258","S668255","S668259","S668257","S668260","S668261","S668262","S668263","S668264","S668265","S668266","S668267","S668268","S668269","S668270","S668271","S668273","S668272","S668274","S668275","S668276","S668277","S668278","S668279","S668280","S668281","S668282","S668283","S668284","S668285","S668286","S668287","S668288","S668289","S668296","S668290","S668291","S668292","S668293","S668294","S668295","S668297","S668298","S668299","S668300","S668301","S668302","S668310","S668303","S668304","S668305","S668306","S668307","S668308","S668309","S668311","S668312","S668313","S668314","S668315","S668321","S668316","S668317","S668318","S668319","S668320","S668322","S668323","S668324","S668325","S668331","S668326","S668327","S668328","S668329","S668330","S668332","S668333","S668334","S668335","S668336","S668337","S668338","S668339","S668340","S668341","S668342","S668343","S668344","S668345","S668346","S668347","S668356","S668348","S668349","S668355","S668350","S668351","S668352","S668353","S668354","S668357","S668358","S668359","S668367","S668360","S668361","S668362","S668363","S668364","S668365","S668366","S668368","S668369","S668370","S668371","S668378","S668372","S668373","S668374","S668375","S668376","S668377","S668379","S668380","S668389","S668381","S668382","S668383","S668384","S668385","S668386","S668387","S668388","S668390","S668391","S668392","S668393","S668394","S668401","S668395","S668396","S668397","S668398","S668399","S668400","S668402","S668403","S668404","S668405","S668412","S668406","S668407","S668408","S668409","S668410","S668411","S668413","S668414","S668415","S668422","S668416","S668417","S668418","S668419","S668420","S668421","S668423","S668424","S668425","S668426","S668432","S668433","S668427","S668428","S668431","S668429","S668430","S668434","S668435","S668444","S668436","S668443","S668437","S668438","S668439","S668440","S668441","S668442","S668445","S668446","S668448","S668447","S668449","S668450","S668451","S668452","S668453","S668454","S668455","S668458","S668457","S668456","S668459","S668467","S668466","S668461","S668460","S668462","S668469","S668463","S668464","S668465","S668468","S668470","S668471","S668474","S668472","S668473","S668475","S668480","S668477","S668476","S668479","S668478","S668481","S668482","S668483","S668484","S668485","S668486","S668487","S668488","S668489","S668490","S668491","S668492","S668493","S668494","S668495","S668498","S668496","S668497","S668499","S668502","S668500","S668501","S668503","S668504","S668505","S668506","S668507","S668508","S668509","S668510","S668511","S668513","S668512","S668514","S668515","S668516","S668517","S668518","S668519","S668520","S668522","S668521","S668523","S668524","S668525","S668526","S668527","S668528","S668529","S668530","S668531","S668532","S668534","S668533","S668537","S668535","S668536","S668538","S668539","S668540","S668541","S668542","S668543","S668544","S668547","S668545","S668546","S668548","S668551","S668549","S668550","S668552","S668553"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,40,44,47,52,60,64,67,69,71,78,80,82,85,87,91,93,95,96,98,105,108,109,112,115,118,121,126,134,138,144,148,152,154,155,157,159,162,167,172,176,177,180,181,182,183,184,185,186,187,188,189,190,191,192,193,198,205,212,221,228,234,237,241,246,253,265,275,279,282,286,289,293,296,303,310,315,321,328,338,344,353,359,366,371,378,384,392,400,410,414,419,424,429,436,443,448,453,460,465,468,473,477,481,484,487,492,498,501,505,507,509,511,514,518,522,526,529,533,536,538,540,545,547,552,554,557,559,561,563,565,568,569,571,573,578,583,587,591,594,596,599,602,607,612,614,617,620,623,624,628,631,635,638,641,644,649,653,656,661,664,666,670,673,675,678,681,686,689,692,696,700,704,706,709,712,717,719,720,728,734,740,746,752,757,762,767,775,783,786,788,793,795,798,804,810,812,815,818,823,826,830,834,839,845,852,861,870,884,890,904,911,920,927,933,938,944,953,959,962,966,970,975,978,982,985,987,990,993,997,1001,1005,1009,1012,1015,1018,1021,1025,1028,1031,1034,1037,1041,1045,1050,1056,1060,1064,1072,1081,1091,1098,1103,1110,1116,1119,1122,1127,1131,1136,1139,1143,1150,1166
Thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,668253,668254,668256,668258,668255,668259,668257,668260,668261,668262,668263,668264,668265,668266,668267,668268,668269,668270,668271,668273,668272,668274,668275,668276,668277,668278,668279,668280,668281,668282,668283,668284,668285,668286,668287,668288,668289,668296,668290,668291,668292,668293,668294,668295,668297,668298,668299,668300,668301,668302,668310,668303,668304,668305,668306,668307,668308,668309,668311,668312,668313,668314,668315,668321,668316,668317,668318,668319,668320,668322,668323,668324,668325,668331,668326,668327,668328,668329,668330,668332,668333,668334,668335,668336,668337,668338,668339,668340,668341,668342,668343,668344,668345,668346,668347,668356,668348,668349,668355,668350,668351,668352,668353,668354,668357,668358,668359,668367,668360,668361,668362,668363,668364,668365,668366,668368,668369,668370,668371,668378,668372,668373,668374,668375,668376,668377,668379,668380,668389,668381,668382,668383,668384,668385,668386,668387,668388,668390,668391,668392,668393,668394,668401,668395,668396,668397,668398,668399,668400,668402,668403,668404,668405,668412,668406,668407,668408,668409,668410,668411,668413,668414,668415,668422,668416,668417,668418,668419,668420,668421,668423,668424,668425,668426,668432,668433,668427,668428,668431,668429,668430,668434,668435,668444,668436,668443,668437,668438,668439,668440,668441,668442,668445,668446,668448,668447,668449,668450,668451,668452,668453,668454,668455,668458,668457,668456,668459,668467,668466,668461,668460,668462,668469,668463,668464,668465,668468,668470,668471,668474,668472,668473,668475,668480,668477,668476,668479,668478,668481,668482,668483,668484,668485,668486,668487,668488,668489,668490,668491,668492,668493,668494,668495,668498,668496,668497,668499,668502,668500,668501,668503,668504,668505,668506,668507,668508,668509,668510,668511,668513,668512,668514,668515,668516,668517,668518,668519,668520,668522,668521,668523,668524,668525,668526,668527,668528,668529,668530,668531,668532,668534,668533,668537,668535,668536,668538,668539,668540,668541,668542,668543,668544,668547,668545,668546,668548,668551,668549,668550,668552,668553
Gil-Romera et al. 2019,Calibrated radiocarbon years BP,,,,--/-66/--,--/-62/--,--/-57/--,--/-53/--,--/-49/--,--/-45/--,--/-41/--,--/-36/--,--/-32/--,--/-28/--,--/-24/--,--/-20/--,--/-16/--,--/-11/--,--/-7/--,--/-3/--,--/1/--,--/5/--,--/9/--,--/14/--,--/18/--,--/22/--,--/26/--,--/30/--,--/34/--,--/38/--,--/43/--,--/47/--,--/51/--,--/55/--,--/59/--,--/60/--,--/61/--,--/63/--,--/64/--,--/65/--,--/66/--,--/67/--,--/71/--,--/76/--,--/79/--,--/85/--,--/94/--,--/170/--,--/228/--,--/265/--,--/304/--,--/436/--,--/473/--,--/511/--,--/567/--,--/605/--,--/679/--,--/714/--,--/746/--,--/763/--,--/796/--,--/925/--,--/976/--,--/993/--,--/1043/--,--/1093/--,--/1140/--,--/1187/--,--/1263/--,--/1388/--,--/1444/--,--/1524/--,--/1574/--,--/1630/--,--/1659/--,--/1672/--,--/1701/--,--/1734/--,--/1778/--,--/1855/--,--/1934/--,--/1996/--,--/2011/--,--/2057/--,--/2069/--,--/2083/--,--/2097/--,--/2111/--,--/2125/--,--/2139/--,--/2151/--,--/2166/--,--/2180/--,--/2195/--,--/2211/--,--/2226/--,--/2242/--,--/2316/--,--/2409/--,--/2505/--,--/2631/--,--/2723/--,--/2787/--,--/2820/--,--/2867/--,--/2948/--,--/3067/--,--/3273/--,--/3402/--,--/3450/--,--/3485/--,--/3536/--,--/3575/--,--/3622/--,--/3665/--,--/3760/--,--/3864/--,--/3933/--,--/4005/--,--/4093/--,--/4244/--,--/4340/--,--/4473/--,--/4549/--,--/4657/--,--/4735/--,--/4841/--,--/4934/--,--/5047/--,--/5175/--,--/5335/--,--/5397/--,--/5471/--,--/5538/--,--/5610/--,--/5709/--,--/5807/--,--/5880/--,--/5948/--,--/6038/--,--/6106/--,--/6147/--,--/6224/--,--/6280/--,--/6333/--,--/6365/--,--/6399/--,--/6456/--,--/6524/--,--/6560/--,--/6616/--,--/6644/--,--/6673/--,--/6702/--,--/6744/--,--/6801/--,--/6855/--,--/6908/--,--/6946/--,--/6994/--,--/7030/--,--/7055/--,--/7080/--,--/7157/--,--/7187/--,--/7269/--,--/7301/--,--/7355/--,--/7390/--,--/7424/--,--/7457/--,--/7488/--,--/7530/--,--/7545/--,--/7571/--,--/7593/--,--/7650/--,--/7704/--,--/7753/--,--/7802/--,--/7841/--,--/7869/--,--/7907/--,--/7944/--,--/8015/--,--/8088/--,--/8115/--,--/8156/--,--/8193/--,--/8231/--,--/8245/--,--/8294/--,--/8333/--,--/8398/--,--/8453/--,--/8505/--,--/8559/--,--/8646/--,--/8710/--,--/8759/--,--/8839/--,--/8888/--,--/8923/--,--/8998/--,--/9053/--,--/9088/--,--/9147/--,--/9203/--,--/9295/--,--/9348/--,--/9395/--,--/9457/--,--/9518/--,--/9583/--,--/9614/--,--/9670/--,--/9725/--,--/9814/--,--/9852/--,--/9868/--,--/9963/--,--/10036/--,--/10101/--,--/10164/--,--/10224/--,--/10276/--,--/10326/--,--/10381/--,--/10471/--,--/10545/--,--/10569/--,--/10588/--,--/10626/--,--/10643/--,--/10668/--,--/10717/--,--/10768/--,--/10779/--,--/10800/--,--/10818/--,--/10848/--,--/10863/--,--/10890/--,--/10914/--,--/10943/--,--/10979/--,--/11018/--,--/11071/--,--/11129/--,--/11196/--,--/11226/--,--/11323/--,--/11431/--,--/11593/--,--/11698/--,--/11792/--,--/11877/--,--/11992/--,--/12158/--,--/12260/--,--/12315/--,--/12389/--,--/12463/--,--/12556/--,--/12615/--,--/12695/--,--/12759/--,--/12802/--,--/12867/--,--/12883/--,--/12902/--,--/12924/--,--/12947/--,--/12970/--,--/12990/--,--/13008/--,--/13027/--,--/13042/--,--/13055/--,--/13063/--,--/13073/--,--/13082/--,--/13092/--,--/13104/--,--/13116/--,--/13131/--,--/13151/--,--/13165/--,--/13178/--,--/13205/--,--/13234/--,--/13264/--,--/13286/--,--/13302/--,--/13324/--,--/13359/--,--/13379/--,--/13397/--,--/13425/--,--/13447/--,--/13474/--,--/13490/--,--/13518/--,--/13574/--,--/13700/--
Acacia,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,1,2,1,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acalypha,UPHE,pollen,NISP,,,1,,2,1,,,,2,1,2,2,,,,2,2,,2,1,1,1,1,,,2,1,1,1,1,2,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,2
Acanthus,UPHE,pollen,NISP,,,1,,2,1,,1,2,,1,,1,2,,1,1,2,1,2,,,2,1,,2,,1,2,1,2,1,1,1,,,1,1,1,1,,1,,,,1,,,1,,,,1,1,,,,,,1,,,1,,,,1,,1,,,,1,1,1,1,,,,,,,1,,,,,,1,,,1,,1,,1,,,,,1,1,,,,1,1,1,1,,,,1,1,1,,1,1,,,1,,,1,1,1,1,,1,,,,,1,1,,1,,,,1,1,,,,1,1,,,1,,1,1,,1,1,,1,,1,,,,1,,1,1,,1,,1,1,1,1,1,1,1,,,1,1,1,1,1,,,1,,1,1,,1,,1,,1,1,,,,1,1,1,,1,,1,1,,1,,1,,1,1,1,,,1,1,1,,,1,1,,,1,1,1,1,1,1,,,,,1,,1,1,,1,,,,1,,1,1,1,1,,,,,1,1,1,,,1,1,1,1,,,,,,,1,,,,,,,,,,,1,,,1,1,,,1,1,1,,,1,1,,1,1,1,,1
Alchemilla,UPHE,pollen,NISP,,7,6,11,6,10,11,2,7,6,5,11,4,3,10,7,5,10,6,7,9,10,2,4,5,5,7,6,7,10,2,9,7,,8,9,4,,8,6,6,7,3,10,10,4,10,2,,10,8,2,7,10,5,1,4,3,8,1,10,9,10,12,10,19,21,18,5,12,11,1,7,11,,3,7,1,7,6,12,9,3,3,9,11,7,8,5,4,1,12,3,2,8,5,12,8,3,1,9,8,12,2,,1,4,12,7,9,9,11,5,10,7,,12,2,10,6,3,1,9,12,3,3,10,,8,4,5,7,6,9,10,4,7,2,3,3,11,2,11,4,1,10,9,12,6,10,2,1,5,9,1,6,5,11,7,2,3,9,9,6,11,8,,12,,9,3,10,9,5,7,4,,8,6,7,8,3,6,7,4,1,7,7,3,2,8,6,1,5,5,6,5,8,,3,8,4,5,2,8,,3,5,7,2,7,1,1,1,8,7,7,6,7,,8,8,6,1,8,4,7,2,3,7,3,4,3,1,7,5,,1,,6,6,7,7,3,3,8,3,5,1,6,7,3,1,3,5,6,8,14,15,8,11,12,6,11,18,7,15,7,9,16,8,17,13,1,5,6,5,4,3,4,,1,1,1,3,5,6,4,3,,4,3,,,3,4,2,1,4,4,3,
