bootstrap,coefs_validos,positivos,negativos,pct_pos
1,5550,2531,3019,45.6036036036036
2,5550,2542,3008,45.8018018018018
3,5550,2509,3041,45.207207207207205
4,5550,2569,2981,46.288288288288285
5,5550,2466,3084,44.432432432432435
6,5550,2534,3016,45.65765765765766
7,5550,2542,3008,45.8018018018018
8,5550,2571,2979,46.32432432432432
9,5550,2561,2989,46.14414414414414
10,5550,2548,3002,45.909909909909906
11,5402,2544,2858,47.09366901147723
12,5550,2582,2968,46.52252252252252
13,5550,2554,2996,46.01801801801802
14,5550,2542,3008,45.8018018018018
15,5402,2472,2930,45.76082932247316
16,5550,2547,3003,45.89189189189189
17,5550,2541,3009,45.78378378378378
18,5550,2525,3025,45.4954954954955
19,5550,2572,2978,46.34234234234234
20,5550,2485,3065,44.77477477477477
21,5550,2499,3051,45.027027027027025
22,5550,2578,2972,46.45045045045045
23,5550,2560,2990,46.126126126126124
24,5550,2531,3019,45.6036036036036
25,5550,2505,3045,45.13513513513514
26,5550,2431,3119,43.8018018018018
27,5550,2545,3005,45.85585585585585
28,5550,2581,2969,46.50450450450451
29,5550,2535,3015,45.67567567567568
30,5550,2606,2944,46.95495495495495
31,5550,2464,3086,44.3963963963964
32,5550,2572,2978,46.34234234234234
33,5550,2583,2967,46.54054054054054
34,5550,2507,3043,45.17117117117117
35,5550,2566,2984,46.234234234234236
36,5550,2549,3001,45.92792792792793
37,5550,2521,3029,45.42342342342343
38,5550,2574,2976,46.37837837837838
39,5550,2446,3104,44.072072072072075
40,5550,2512,3038,45.26126126126126
41,5550,2546,3004,45.87387387387387
42,5550,2550,3000,45.94594594594595
43,5550,2569,2981,46.288288288288285
44,5550,2530,3020,45.585585585585584
45,5550,2480,3070,44.68468468468468
46,5550,2529,3021,45.567567567567565
47,5550,2508,3042,45.189189189189186
48,5550,2600,2950,46.846846846846844
49,5550,2486,3064,44.79279279279279
50,5402,2453,2949,45.40910773787486
51,5550,2570,2980,46.306306306306304
52,5550,2545,3005,45.85585585585585
53,5550,2536,3014,45.693693693693696
54,5550,2563,2987,46.18018018018018
