age (kyr BP),depth (mm),d13C (permil)
0.00,0,-8.12
0.01,1,-9.5
0.01,2,-9.49
0.02,3,-9.03
0.02,4,-8.46
0.03,5,-8.44
0.03,6,-7.67
0.04,7,-7.77
0.05,8,-7.43
0.05,9,-7.74
0.06,10,-8.23
0.06,11,-7.82
0.06,11.21,-7.13
0.07,12,-7.05
0.07,13,-7.62
0.07,13.21,-7.71
0.08,14,-7.42
0.08,15,-7.1
0.09,15.2,-7.07
0.09,16,-7.17
0.10,17,-7.13
0.10,17.2,-7.18
0.10,18,-7.18
0.11,19,-6.66
0.11,19.19,-6.61
0.11,20,-6.79
0.12,21,-6.92
0.12,21.19,-6.99
0.12,22,-7.21
0.13,23,-7.04
0.13,23.18,-7.06
0.13,24,-7.2
0.14,25,-7.05
0.14,25.17,-7.01
0.15,26,-6.95
0.15,27,-7.15
0.15,27.17,-7.15
0.16,28,-7.24
0.16,29,-7.69
0.16,29.16,-7.74
0.17,30,-7.93
0.17,31,-6.95
0.17,31.16,-6.9
0.18,32,-7.01
0.19,33,-7.22
0.19,33.15,-7.26
0.19,34,-7.42
0.20,35,-7.89
0.20,35.14,-7.83
0.20,36,-7.34
0.21,37,-6.47
0.21,37.14,-6.48
0.21,38,-6.7
0.22,39,-6.79
0.22,39.13,-6.81
0.22,40,-6.94
0.23,41,-6.4
0.23,41.13,-6.38
0.24,42,-6.57
0.24,43,-6.56
0.24,43.12,-6.56
0.25,44,-6.5
0.25,45.02,-7.07
0.25,45.18,-7.08
0.26,46,-7.09
0.26,47,-7.09
0.26,48,-7.14
0.26,48.31,-6.96
0.27,49,-6.39
0.27,50,-6.76
0.27,51,-6.68
0.28,51.45,-6.49
0.28,52,-6.26
0.28,53,-6.29
0.28,54,-6.57
0.29,54.58,-6.56
0.29,55,-6.59
0.29,56,-6.71
0.30,57,-7.26
0.30,57.71,-7.16
0.30,58,-7.05
0.30,59,-6.59
0.31,60,-6.83
0.31,60.85,-7.09
0.31,61,-7.13
0.31,62,-7.23
0.32,63,-7.35
0.32,63.98,-7.28
0.32,64,-7.28
0.32,65,-7.21
0.33,66,-7.24
0.33,67,-7.41
0.33,67.11,-7.43
0.33,68,-7.59
0.34,69,-7.67
0.34,70,-7.29
0.34,70.25,-7.32
0.35,71,-7.6
0.35,72,-8.03
0.35,73,-7.85
0.35,73.38,-7.99
0.36,74,-8.13
0.36,75,-8.05
0.36,76,-7.95
0.36,76.51,-7.8
0.37,77,-7.66
0.37,78,-7.5
0.37,79,-7.61
0.38,79.65,-7.73
0.38,80,-7.81
0.38,81,-7.93
0.38,82,-8.06
0.39,82.78,-7.93
0.39,83,-7.88
0.39,84,-7.78
0.39,84.92,-7.37
0.40,85.4,-7.25
0.40,86,-7.29
0.41,86.8,-7.19
0.41,87,-7.18
0.42,88,-7.19
0.42,88.19,-7.22
0.43,89,-7.27
0.43,89.59,-6.79
0.44,90,-6.47
0.44,90.98,-6.14
0.44,91,-6.14
0.45,92,-6.66
0.45,92.38,-6.57
0.46,93,-6.29
0.47,93.77,-6.48
0.47,94,-6.54
0.48,95,-5.85
0.48,95.16,-5.88
0.48,96,-6.59
0.49,96.56,-7.01
0.49,97,-6.89
0.50,97.95,-6.28
0.50,98,-6.27
0.51,99,-6.29
0.51,99.35,-6.11
0.52,99.99,-5.67
0.52,100.64,-5.53
0.52,101,-5.7
0.53,101.83,-6.18
0.53,102,-6.23
0.54,103,-6.13
0.54,103.03,-6.13
0.55,104,-5.95
0.55,104.23,-5.92
0.56,105,-6.15
0.57,105.43,-6.25
0.57,106,-6.29
0.58,106.63,-6.11
0.58,107,-5.97
0.59,107.82,-6.01
0.59,108,-6.09
0.60,109,-6.59
0.60,109.02,-6.6
0.61,110,-6.84
0.61,110.22,-6.84
0.62,111,-6.9
0.62,111.42,-6.78
0.63,112,-6.62
0.63,112.61,-6.45
0.64,113,-6.28
0.64,113.81,-6.32
0.65,114,-6.38
0.65,115,-6.42
0.65,115.01,-6.42
0.66,116,-6.75
0.67,116.21,-6.74
0.67,117,-6.47
0.68,117.41,-6.41
0.68,118,-6.36
0.69,118.6,-6.26
0.69,119,-6.24
0.70,119.8,-6.6
0.70,120,-6.67
0.71,121,-6.55
0.71,121,-6.55
0.72,122,-6.48
0.72,122.2,-6.47
0.73,123,-6.18
0.73,123.39,-6.04
0.74,124,-5.99
0.74,124.59,-6.01
0.75,125,-6.11
0.76,125.79,-6.19
0.76,126,-6.16
0.77,126.99,-6.26
0.77,127,-6.26
0.78,128,-6.12
0.78,128.19,-6.12
0.79,129,-6.15
0.79,129.38,-6.19
0.79,130,-6.24
0.80,130.58,-6.35
0.80,131,-6.41
0.81,131.78,-6.62
0.81,132,-6.67
0.82,132.98,-6.84
0.82,133,-6.84
0.83,133.65,-6.27
0.84,134,-5.8
0.84,134.32,-5.62
0.86,134.99,-5.63
0.86,135,-5.63
0.87,135.66,-5.99
0.87,136,-6.47
0.88,136.33,-6.73
0.89,137,-5.7
0.89,137,-5.7
0.90,137.66,-6.15
0.91,138,-6.4
0.91,138.33,-6.44
0.92,139,-6.63
0.92,139,-6.63
0.93,139.56,-6.02
0.94,140,-5.7
0.94,140.12,-5.7
0.95,140.68,-5.78
0.96,141,-5.67
0.96,141.24,-5.58
0.97,141.8,-6.05
0.97,142,-5.98
0.98,142.36,-5.95
0.99,142.92,-6.37
0.99,143,-6.41
1.00,143.47,-6.09
1.006,144,-5.76
1.006,144.03,-5.77
1.016,144.59,-6.15
1.023,145,-6.57
1.025,145.15,-6.59
1.034,145.71,-6.71
1.039,146,-6.35
1.044,146.27,-6.19
1.053,146.83,-6.32
1.056,147,-6.42
1.062,147.39,-6.58
1.072,147.95,-6.67
1.073,148,-6.66
1.081,148.51,-6.57
1.089,149,-7.06
1.09,149.07,-7.1
1.1,149.62,-7.22
1.106,150,-7
1.109,150.18,-6.82
1.118,150.74,-6.39
1.123,151,-6.4
1.128,151.3,-6.57
1.137,151.86,-6.53
1.139,152,-6.56
1.146,152.42,-6.32
1.156,152.98,-5.94
1.156,153,-5.93
1.165,153.54,-5.91
1.173,154,-6.25
1.174,154.1,-6.3
1.184,154.66,-6.34
1.19,155,-6.16
1.193,155.22,-5.97
1.203,155.77,-5.84
1.206,156,-5.97
1.212,156.33,-6.33
1.221,156.89,-6.54
1.223,157,-6.53
1.231,157.45,-6.43
1.24,158,-6.51
1.24,158.01,-6.51
