Taxa,Functional group,Community,Functional disturbance response
Alchemilla,herb,Afroalpine,fire tolerant
Chenopodiaceae,herb,Afroalpine,fire tolerant
Artemisia,shrub,Afroalpine,fire tolerant
Cichoroideae,herb,Afroalpine,fire tolerant
Asteroideae,shrub,Afroalpine,fire tolerant
Carduus,shrub,Afroalpine,fire tolerant
Asteraceae,herb,Afroalpine,fire tolerant
Vernonia,herb,Afroalpine,fire tolerant
Polygonum,herb,Afroalpine,fire tolerant
Tribulus,herb,Afroalpine,fire tolerant
Galium,herb,Afroalpine,fire tolerant
Brassicaceae,herb,Afroalpine,fire tolerant
Caryophylaceae,herb,Afroalpine,fire tolerant
Swertia,shrub,Afroalpine,fire tolerant
Senecio,herb,Afroalpine,fire tolerant
Erica,Erica,Ericaceous belt,strong resprouter
Hypericum,tree,Ericaceous belt,resprouter
Anthospermum,shrub,Ericaceous belt,resprouter
Cerastium,shrub,Ericaceous belt,resprouter
Apiaceae,herb,Ericaceous belt,fire tolerant
Podocarpus,tree,Upper forest limit,fire intolerant
Euclea,tree,Upper forest limit,fire tolerant
Hagenia,tree,Upper forest limit,fire intolerant
Juniperus,tree,Upper forest limit,fire tolerant
Myrsine,tree,Upper forest limit,fire tolerant
Rapanea,tree,Upper forest limit,fire tolerant
Rosa,tree,Upper forest limit,fire tolerant
Schefflera,tree,Upper forest limit,fire tolerant
Brucea,herb,Upper forest limit,fire tolerant
Sapotaceae,herb,Upper forest limit,fire tolerant
Iridaceae,herb,Upper forest limit,fire tolerant
Anthyllis,shrub,Upper forest limit,fire tolerant
Maytenus,tree,Forest belt,fire tolerant
Buxus,shrub,Forest belt,fire tolerant
Psydrax,shrub,Forest belt,fire tolerant
Celastraceae,tree,Forest belt,fire intolerant
Celtis,tree,Forest belt,fire intolerant
Dodonaea,tree,Forest belt,fire intolerant
Ekebergia,tree,Forest belt,fire intolerant
Ephedra,shrub,Forest belt,fire intolerant
Clematis,tree,Forest belt,fire intolerant
Myrica,tree,Forest belt,fire intolerant
Hypoestes,tree,Forest belt,fire intolerant
Ziziphus,tree,Forest belt,fire tolerant
Acanthus,herb,Forest belt,fire tolerant
Allophylus,herb,Lower forest limit,fire tolerant
Acacia,herb,Lower forest limit,fire tolerant
Combretum,fern,Lower forest limit,fire tolerant
Commiphora,fern,Lower forest limit,fire tolerant
Cussonia,tree,Lower forest limit,fire tolerant
Dobera,tree,Lower forest limit,fire tolerant
Lannea,tree,Lower forest limit,fire tolerant
Macaranga,tree,Lower forest limit,fire tolerant
Olea,tree,Lower forest limit,fire tolerant
Jasminum,tree,Lower forest limit,fire tolerant
Rhus,tree,Lower forest limit,fire tolerant
Securinega,tree,Lower forest limit,fire tolerant
Teclea,tree,Lower forest limit,fire tolerant
Zanthoxylum,shrub,Lower forest limit,fire tolerant
Cassia,tree,Lower forest limit,fire tolerant
Capparidaceae,tree,Lower forest limit,fire tolerant
Acalypha,tree,Lower forest limit,fire tolerant
Euphorbia,tree,Lower forest limit,fire tolerant
Euphorbiacea,tree,Lower forest limit,fire tolerant
Phyllantus,tree,Lower forest limit,fire tolerant
Tamarindus,tree,Lower forest limit,fire tolerant
Alchornea,tree,Lower forest limit,fire tolerant
Aloe,tree,Lower forest limit,fire tolerant
Asphodellus,tree,Lower forest limit,fire tolerant
Leguminosae,tree,Lower forest limit,fire tolerant
Rubiaceae,tree,Lower forest limit,fire tolerant
Blepharis,tree,Lower forest limit,fire tolerant
Justicia,tree,Lower forest limit,fire tolerant
Heliotropium,tree,Lower forest limit,fire tolerant
Kohautia,tree,Lower forest limit,fire tolerant
Indigofera,herb,Lower forest limit,fire tolerant
Lamiaceae,herb,Lower forest limit,fire tolerant
Cerealia,herb,Ruderal,fire tolerant
Plantago,herb,Ruderal,fire tolerant
Planceolata,herb,Ruderal,fire tolerant
Poaceae,herb,Grassland,fire tolerant
Rumex,herb,Ruderal,fire tolerant
Solanum,shrub,Ruderal,fire tolerant
Urticaceae,shrub,Ruderal,fire tolerant
Ricinus,herb,Ruderal,fire tolerant
Saussurea,herb,Poaceae,fire tolerant
