Depth.cm,ka.BP,counts,Acc.rate.yr.cm,CHAR
0,0.001,24,4,6
1,0.005,32,5,6.4
2,0.01,27,4,6.75
3,0.014,24,4,6
4,0.018,19,4,4.75
5,0.022,21,4,5.25
6,0.026,18,4,4.5
7,0.03,32,5,6.4
8,0.035,28,4,7
9,0.039,21,4,5.25
10,0.043,20,4,5
11,0.047,18,4,4.5
12,0.051,16,4,3.2
13,0.055,10,5,2.5
14,0.06,4,4,1
15,0.064,5,4,1.25
16,0.068,7,4,1.75
17,0.072,5,4,1.25
18,0.076,1,4,0.25
19,0.08,8,4,1.6
20,0.084,9,5,2.25
21,0.089,7,4,1.75
22,0.093,9,4,2.25
23,0.097,8,4,2
24,0.101,14,4,3.5
25,0.105,16,4,4
26,0.109,11,4,2.2
27,0.113,7,5,1.75
28,0.118,8,4,2
29,0.122,2,4,0.5
30,0.126,18,1,18
31,0.127,11,1,5.5
32,0.128,10,2,10
33,0.13,8,1,8
34,0.131,5,1,5
35,0.132,9,2,4.5
36,0.134,8,1,8
37,0.135,5,1,5
38,0.136,9,2,9
39,0.138,7,1,3.5
40,0.139,21,1,21
41,0.14,14,1,14
42,0.141,11,1,11
43,0.142,8,2,4
44,0.144,9,1,9
45,0.145,12,1,12
46,0.146,8,1,8
47,0.147,5,2,2.5
48,0.149,4,1,4
49,0.15,1,1,1
50,0.151,2,1,2
51,0.152,4,2,4
52,0.154,2,1,1
53,0.155,3,1,3
54,0.156,2,1,2
55,0.157,4,2,4
56,0.159,5,1,2.5
57,0.16,7,1,7
58,0.161,9,1,9
59,0.162,11,2,11
60,0.164,15,16,0.94
61,0.18,11,16,0.69
62,0.196,7,16,0.41
63,0.212,6,16,0.38
64,0.228,8,16,0.5
65,0.244,6,16,0.38
66,0.26,9,16,0.6
67,0.276,8,15,0.5
68,0.291,14,16,0.88
69,0.307,25,16,1.56
70,0.323,38,16,2.38
71,0.339,41,16,2.56
72,0.355,31,16,1.94
73,0.371,24,16,1.5
74,0.387,37,16,2.31
75,0.403,24,16,1.5
76,0.419,36,15,2.25
77,0.434,44,17,2.75
78,0.451,28,16,1.65
79,0.467,35,16,2.33
80,0.483,49,15,3.06
81,0.498,14,16,0.88
82,0.514,36,16,2.25
83,0.53,28,16,1.75
84,0.546,75,16,4.69
85,0.562,63,16,3.71
86,0.578,39,17,2.29
87,0.595,52,16,3.47
88,0.611,48,16,3
89,0.627,59,15,3.69
90,0.642,69,16,4.06
91,0.658,71,19,4.44
92,0.677,72,16,3.79
93,0.693,75,18,4.69
94,0.711,82,18,4.56
95,0.729,94,18,5.22
96,0.747,91,19,5.35
97,0.766,85,17,5
98,0.783,165,19,9.71
