Taxa,Community
Abies,temperate forest
Pinus,pinewoods
Juniperus,shrubland
Taxus,temperate forest
Betula,temperate forest
Corylus,temperate forest
Alnus,riverine community
Carpinus,riverine community
Salix,riverine community
Ulmus,riverine community
Populus,riverine community
Acer,temperate forest
Fraxinus,temperate forest
Fagus,temperate forest
Tilia,riverine community
Juglans,riverine community
Castanea,temperate forest
Quercus caducifolio,temperate forest
Quercus perennifolio,mediterranean
Pistacia,mediterranean
Rhamnus,pinewoods
Buxus,pinewoods
Sambucus,shrubland
Viburnum,mediterranean
Sanguisorba,pastureland
Ephedra distachya,mediterranean
Ephedra fragilis,mediterranean
Ericaceae,shrubland
Hereda helix,pinewoods
Ilex aquifolium,pinewoods
Viscum album,pinewoods
Lonicera,shrubland
Vitis,mediterranean
Olea,mediterranean
Poaceae,grassland
Artemisia,grassland
Cichorioideae,grassland
Asteroideae,grassland
Rubiaceae,mediterranean
Centaurea,grassland
Caryophyllaceae,grassland
Plantago,pastureland
Brassicaceae,grassland
Saxifragaceae,pinewoods
Fabaceae,grassland
Lotus type,pastureland
Trifolium type,pastureland
Rosaceae,shrubland
Boraginaceae,pastureland
Sedum,pinewoods
Helianthemum,grassland
Lamiaceae,grassland
Urticaceae,pastureland
Rumex,pastureland
Euphorbiaceae,mediterranean
Primulaceae,grassland
Scrophulariaceae,grassland
Papaver,pastureland
Campanulaceae,grassland
Liliaceae,grassland
Ranunculaceae,grassland
Apiaceae,pastureland
Cerealia type,anthropogenic
Polygonaceae,pastureland
Ranunculus,grassland
Cannabis sativa,anthropogenic
Picea abies,subalpine forest
Pteridophyta (monolete),temperate forest
Pteridium aquilinum,temperate forest
Typha latifolia,riverine community
Sporormiella-type,anthropogenic
Thelypteris palustris,temperate forest
Dryopteris filix-mas,temperate forest
Athyrium filix-femina,temperate forest
Amaranthaceae,grassland
Sordaria-type,anthropogenic
Hypericum,grassland
Cercophora-type,anthropogenic
Frangula,temperate forest
Podospora-type,anthropogenic
Rhynchospora,anthropogenic
Humulus lupulus,anthropogenic
Tussilago farfara,anthropogenic
Lythrum,riverine community
Rosa,shrubland
Hippophaë rhamnoides,shrubland
Larix decidua,subalpine forest
Platanus,temperate forest
Polypodium,temperate forest
Pteridophyta (trilete),temperate forest
