kaBP,depth,accrate,Erica,Allophylus,Acacia,Combretum,Commiphora,Cussonia,Dobera,Lannea,Macaranga,Olea,Jasminum,Podocarpus,Phoenix,Rhus,Securinega,Teclea,Zanthoxylum,Melastomataceae,Cassia,Capparidaceae,Maytenus,Acalypha,Euphorbia,Euphorbiacea,Phyllantus,Tamarindus,Buxus,Psydrax,Celastraceae,Celtis,Alchornea,Dodonaea,Ekebergia,Ephedra,Ficus,Ilex,Clematis,Euclea,Hagenia,Juniperus,Myrica,Myrsine,Rapanea,Rosa,Schefflera,Hypoestes,Hypericum,Anthospermum,Alchemilla,Aloe,Chenopodiaceae,Artemisia,Cichoroideae,Aster,Asteroideae,Carduus,Cerastium,Cerealia,Plantago,Planceolata,Poaceae,Asteraceae,Vernonia,Rumex,Polygonum,Solanum,Tribulus,Apiaceae,Urticaceae,Ziziphus,Brucea,Ricinus,Sapotaceae,Iridaceae,Asphodellus,Anthyllis,Leguminosae,Galium,Rubiaceae,Brassicaceae,Acanthus,Blepharis,Justicia,Caryophylaceae,Chorcorus,Saussurea,Swertia,Senecio,Heliotropium,Kohautia,Indigofera,Lamiaceae,Ranunculus,Thalictrum,Callytriche,Monoletes,Triletes,Cyperaceae,Typha,Botryococcus,Undetermined,Lycopodium,Lyc.conc,volume
-0.066,0,0.25,21,0,0,2,4,0,0,0,0,0,3,20,0,0,0,0,1,2,1,0,0,0,1,2,0,0,0,0,0,0,0,7,0,0,0,0,1,1,40,137,4,0,0,0,0,0,0,7,7,1,32,3,1,1,16,8,0,21,127,22,18,0,0,11,5,0,2,4,0,0,1,1,0,5,9,0,4,0,0,2,0,0,2,2,0,1,0,0,0,1,1,3,1,0,0,4,0,12,0,619,5,320,31272,2.78
-0.062,1,0.2,28,0,0,3,0,0,0,0,0,4,5,63,0,0,2,2,0,0,1,1,2,1,0,2,2,1,0,0,2,1,2,4,2,0,0,0,0,1,38,138,2,1,1,1,2,1,0,5,6,0,11,1,1,4,21,12,0,10,156,16,22,0,0,12,12,1,0,9,8,0,0,1,0,0,0,0,1,0,2,5,1,2,0,2,1,1,0,5,4,1,3,3,3,4,4,4,1,9,0,352,5,210,31272,1.91
-0.057,2,0.25,32,0,0,2,4,0,0,0,0,2,3,33,0,1,1,0,2,0,1,1,2,0,2,1,1,0,2,1,1,0,2,9,2,1,0,0,0,0,36,136,2,2,0,2,0,1,3,10,11,2,19,3,3,5,11,25,0,20,224,12,15,2,1,12,13,1,4,8,6,0,0,1,0,2,0,3,2,2,2,3,0,0,0,0,1,0,0,2,2,0,4,0,4,1,0,0,1,9,1,403,2,311,31272,2.04
-0.053,3,0.25,14,0,0,0,4,0,0,0,0,1,0,51,0,0,0,0,2,2,0,0,0,2,1,1,1,1,2,1,0,0,2,8,0,0,0,0,0,1,33,149,2,1,2,1,2,1,0,6,6,2,11,4,0,4,7,11,0,17,223,15,17,4,1,8,12,1,2,9,8,0,0,2,0,5,0,5,3,2,2,4,2,1,2,4,0,1,1,1,4,5,0,2,0,0,4,4,1,12,0,10,0,277,31272,2.26
-0.049,4,0.25,58,0,0,5,1,0,0,0,0,3,2,27,0,1,0,2,2,2,1,2,1,1,2,2,2,2,2,0,2,1,1,5,2,1,0,0,0,0,41,152,2,0,1,1,1,1,0,3,10,1,17,2,3,5,27,28,0,10,168,22,16,5,1,9,10,0,4,2,12,0,0,2,0,3,0,5,5,0,0,0,1,0,0,5,1,0,0,3,5,0,3,3,1,2,1,2,0,18,1,515,0,267,31272,1.79
-0.045,5,0.25,45,0,0,0,4,0,0,0,0,3,1,65,0,0,1,2,1,1,2,2,1,0,2,0,2,2,1,1,0,2,2,9,0,0,0,0,0,1,43,146,2,0,0,2,2,1,4,7,11,0,9,4,0,4,8,13,0,10,121,20,18,0,1,11,11,0,3,9,1,0,0,0,0,1,0,4,4,1,1,3,0,2,0,2,1,0,0,0,1,4,2,1,5,0,2,4,1,14,1,384,4,269,31272,2.29
-0.041,6,0.2,78,0,0,2,1,0,0,0,0,2,4,58,0,0,0,0,2,1,1,2,1,0,0,1,0,2,0,1,1,1,2,7,0,1,0,0,0,0,34,164,0,2,2,0,1,2,2,5,2,0,20,5,2,4,9,11,0,16,228,22,17,5,0,11,10,1,0,8,13,0,0,1,0,1,0,3,3,1,0,5,1,2,0,5,0,0,1,4,5,5,5,4,4,2,3,2,0,11,0,15,5,229,31272,1.62
-0.036,7,0.25,24,0,0,3,1,0,0,0,0,12,5,49,0,1,0,1,0,0,0,1,2,0,2,0,2,2,2,2,2,0,2,11,0,1,0,0,0,1,39,164,0,1,2,1,2,0,2,5,7,1,11,1,1,2,15,25,0,30,125,18,17,2,1,8,13,2,0,8,8,0,0,0,0,3,0,4,0,0,0,4,2,0,1,2,0,1,0,2,3,4,3,4,11,4,2,5,1,5,1,510,1,250,31272,1.64
-0.032,8,0.25,48,0,0,0,3,0,0,0,0,5,2,59,0,1,1,1,1,2,0,1,1,2,0,0,1,0,1,1,0,0,1,10,2,0,0,0,0,1,22,156,5,2,0,0,1,1,2,7,6,0,10,2,0,5,28,20,0,25,196,19,22,1,0,10,10,2,3,0,4,0,0,1,0,4,0,2,2,0,0,2,0,1,0,4,1,1,1,1,5,2,4,2,12,5,4,0,1,12,0,380,5,195,31272,1.73
-0.028,9,0.25,45,0,0,2,4,0,0,0,0,22,4,38,0,0,1,1,1,1,1,0,2,1,1,2,2,0,1,2,0,0,0,5,2,0,0,0,0,1,24,134,3,1,0,0,1,1,4,6,5,2,11,3,3,1,11,15,0,10,195,23,20,5,1,10,9,1,2,3,14,0,0,2,0,4,0,5,3,1,0,2,1,2,1,0,0,0,0,0,2,3,0,1,12,3,4,2,0,10,1,125,1,209,31272,2.38
-0.024,10,0.25,21,0,0,5,0,0,0,0,0,34,2,50,0,2,0,0,2,2,0,0,2,2,0,1,0,1,0,1,1,1,2,10,2,1,0,0,0,0,34,131,0,0,0,1,2,2,0,6,11,2,16,1,2,2,20,20,0,19,192,13,16,1,0,8,13,2,3,7,4,0,0,2,0,0,0,5,5,2,0,1,0,1,1,3,1,1,0,5,4,1,0,4,1,3,1,4,0,13,0,470,1,330,31272,1.55
